User,Month,Issues,PRs,Merges
KrisZHH,4,1,0,0
Krisort,12,1,0,0
KumaTea,3,1,0,0
Kus66,1,1,0,0
KyleWang-Hunter,1,2,0,0
KyleWang-Hunter,3,1,0,0
L-Inkink,4,1,0,0
LDOUBLEV,6,1,0,0
LGYYYYYY,12,1,0,0
LHSION,12,1,0,0
LKjoey,12,2,0,0
LLLiHaotian,3,1,0,0
LLee233,9,1,1,1
LLsmile,6,2,0,0
LMR2018,5,1,0,0
LMR2018,6,1,0,0
LORD-9527,1,1,0,0
LS1030,3,1,0,0
LS1030,4,1,0,0
LUDENGZHEN,8,2,0,0
LXX230,1,1,0,0
LaiWeiQuan,2,1,0,0
LaurenceLong,8,1,0,0
Le-soleile,3,1,0,0
LeFuGang,2,1,0,0
LeanFly,8,1,0,0
LeanFly,9,3,0,0
Lee-047,3,1,0,0
LegendRGC,2,2,0,0
LegendSun0,1,1,0,0
Lem0nTe4,2,1,0,0
LeungWaiHo,1,1,0,0
Lew9s,3,1,0,0
LiManshiang,12,1,0,0
LiYufengzz,1,1,0,0
LiYufengzz,2,3,0,0
LiangT-Hub,11,1,0,0
LiaoYuWei1,12,1,0,0
LightRoastKenyaPeaberry,5,1,0,0
Ligoml,1,1,0,0
Lijian500,5,1,0,0
Limingxing00,3,1,0,0
LinHoujie,5,1,0,0
LinRS1999,10,2,0,0
Linda-Deng,7,1,0,0
Linda-Deng,8,1,0,0
Ling1992,3,1,0,0
Linkangyis,5,1,0,0
Linzy19,4,2,0,0
LiquorPerfect,1,1,0,0
LiquorPerfect,4,1,0,0
LisaShen0509,2,1,0,0
LitchiCheng,3,1,0,0
LittleCool-Man,8,1,0,0
LittleCool-Man,10,1,0,0
LittleHeroZZZX,12,1,0,0
LittleRain626,1,1,0,0
Liu-jian-kang,1,1,0,0
LiuSky,11,1,0,0
LiuTingqq149132,3,1,0,0
Liusdaooo,8,1,0,0
Liuuuu54,7,1,0,0
Liyulingyue,2,2,3,0
Liyulingyue,4,2,24,0
Liyulingyue,11,4,28,5
Lizuole007,12,1,0,0
LjPro,3,1,0,0
LokeZhou,3,1,0,7
LokeZhou,7,1,5,6
Longdexin,12,1,0,0
LorenzoSun-V,5,1,0,0
LouisChenB,5,7,0,0
LouisChenB,6,3,0,0
Lucas-SJY,1,1,0,0
Lucas-SJY,2,1,0,0
LuckyPick,7,1,0,0
Luxf01,3,1,0,0
MINGtoMING,2,1,0,0
MINGtoMING,7,1,2,0
MMYY-yy,5,1,0,0
MSTTTTTTTTTTTTTTTTT,1,1,0,0
MaciejPykoszAigo,12,1,0,0
Maikuraky,8,1,0,0
ManikSinghSarmaal,7,1,2,0
Manoe-K,3,1,0,0
March-Wind,7,1,0,0
MarioLulab,1,1,0,0
MarioLulab,3,1,1,0
MarioUncle-Wang,8,1,0,0
Markitosik,1,1,0,0
MaroofAbdullah,7,1,0,0
Mars123xxx,3,1,0,0
MarsChange,4,1,0,0
Martzki,10,2,0,0
MasterLivens,7,1,0,0
MatchX,7,1,0,0
